Order ID,Order Date,Region,Category,Sub-Category,Customer Name,Quantity,Discount,Sales,Profit
ORD-1000,2024-10-16,East,Furniture,Bookcases,Customer_63,4,0.0,774.08,259.48
ORD-1001,2023-04-15,East,Technology,Copiers,Customer_9,1,0.0,368.68,84.65
ORD-1002,2023-08-12,West,Technology,Phones,Customer_144,4,0.3,242.06,-34.66
ORD-1003,2023-08-14,South,Technology,Accessories,Customer_2,3,0.3,80.77,5.64
ORD-1004,2023-12-15,North,Furniture,Tables,Customer_87,2,0.0,609.1,137.75
ORD-1005,2024-01-25,East,Office Supplies,Storage,Customer_68,1,0.4,12.05,0.25
ORD-1006,2024-07-03,East,Office Supplies,Binders,Customer_142,5,0.2,1671.6,-77.39
ORD-1007,2024-08-14,West,Technology,Phones,Customer_12,11,0.1,980.99,24.55
ORD-1008,2023-10-24,East,Furniture,Chairs,Customer_98,5,0.4,477.24,-53.72
ORD-1009,2024-10-12,North,Furniture,Bookcases,Customer_91,4,0.15,753.61,13.09
ORD-1010,2024-12-19,East,Technology,Machines,Customer_137,12,0.1,3345.95,39.64
ORD-1011,2023-06-17,South,Office Supplies,Storage,Customer_143,4,0.2,490.08,-0.04
ORD-1012,2023-02-27,West,Furniture,Bookcases,Customer_103,5,0.0,1167.35,333.34
ORD-1013,2023-08-05,North,Furniture,Furnishings,Customer_102,11,0.4,711.74,-82.37
ORD-1014,2023-05-27,North,Furniture,Tables,Customer_144,9,0.15,2297.14,-128.79
ORD-1015,2024-08-21,South,Technology,Copiers,Customer_93,4,0.0,1230.8,124.5
ORD-1016,2024-06-05,South,Furniture,Chairs,Customer_29,3,0.0,125.64,42.05
ORD-1017,2024-11-27,South,Technology,Phones,Customer_99,7,0.4,2029.27,-55.77
ORD-1018,2024-06-25,North,Technology,Phones,Customer_30,11,0.15,1489.08,-60.6
ORD-1019,2024-10-18,North,Furniture,Bookcases,Customer_112,3,0.4,621.49,-85.74
ORD-1020,2023-01-04,North,Technology,Machines,Customer_130,2,0.15,118.66,9.32
ORD-1021,2024-10-16,West,Furniture,Bookcases,Customer_42,9,0.0,241.65,78.0
ORD-1022,2024-09-05,Unknown,Office Supplies,Binders,Customer_29,6,0.15,697.68,89.83
ORD-1023,2023-09-03,East,Furniture,Chairs,Customer_22,12,0.4,1171.73,-133.55
ORD-1024,2023-03-12,West,Furniture,Furnishings,Customer_141,3,0.15,708.62,-10.31
ORD-1025,2024-06-24,South,Furniture,Tables,Customer_80,7,0.2,2716.56,332.89
ORD-1026,2024-03-24,South,Furniture,Tables,Customer_58,2,0.2,752.56,119.24
ORD-1027,2023-01-22,West,Technology,Machines,Customer_2,2,0.0,605.94,197.88
ORD-1028,2023-08-23,East,Furniture,Bookcases,Customer_19,9,0.1,432.22,12.45
ORD-1029,2023-10-13,South,Furniture,Tables,Customer_147,10,0.4,192.96,-33.27
ORD-1030,2023-09-06,Unknown,Office Supplies,Paper,Customer_25,2,0.3,280.63,-30.48
ORD-1031,2023-12-29,South,Office Supplies,Art,Customer_14,11,0.0,4576.88,718.69
ORD-1032,2023-03-04,South,Technology,Accessories,Customer_28,4,0.1,531.58,70.6
ORD-1033,2023-07-14,South,Furniture,Furnishings,Customer_47,5,0.4,237.15,-6.96
ORD-1034,2023-09-13,East,Office Supplies,Binders,Customer_13,11,0.0,511.83,177.13
ORD-1035,2023-04-06,West,Furniture,Furnishings,Customer_125,8,0.1,2796.48,82.82
ORD-1036,2024-02-15,East,Furniture,Furnishings,Customer_1,7,0.15,75.62,13.21
